goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
A ⊆ A ∪ B,True,1,6.669659614562988,qwen3-coder:30b,False,3,2
A ∩ B ⊆ A,True,1,6.332427740097046,qwen3-coder:30b,False,6,2
(A ⊆ B ∧ B ⊆ A) ⟹ A = B,True,1,8.421929836273193,qwen3-coder:30b,False,10,2
set (xs @ ys) = set xs ∪ set ys,True,1,6.306670665740967,qwen3-coder:30b,False,13,2
A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C),True,1,8.414929628372192,qwen3-coder:30b,False,17,2
(A ⊆ B ∧ B ⊆ C) ⟹ A ⊆ C,True,1,8.428502798080444,qwen3-coder:30b,False,21,2
{x} ∪ A = insert x A,True,1,6.2558088302612305,qwen3-coder:30b,False,24,2
x ∈ insert y A ⟷ (x = y ∨ x ∈ A),True,1,6.397656202316284,qwen3-coder:30b,False,27,2
