goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
A ⊆ A ∪ B,True,1,13.400856018066406,litellm:openai/gpt-5.5,False,30,2
A ∩ B ⊆ A,True,1,11.495678901672363,litellm:openai/gpt-5.5,False,33,2
(A ⊆ B ∧ B ⊆ A) ⟹ A = B,True,1,14.324170351028442,litellm:openai/gpt-5.5,False,37,2
set (xs @ ys) = set xs ∪ set ys,True,1,9.894209623336792,litellm:openai/gpt-5.5,False,40,2
A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C),True,1,13.981967210769653,litellm:openai/gpt-5.5,False,44,2
(A ⊆ B ∧ B ⊆ C) ⟹ A ⊆ C,True,1,13.61587929725647,litellm:openai/gpt-5.5,False,48,2
{x} ∪ A = insert x A,True,1,11.862895011901855,litellm:openai/gpt-5.5,False,51,2
x ∈ insert y A ⟷ (x = y ∨ x ∈ A),True,1,11.951948642730713,litellm:openai/gpt-5.5,False,54,2
